a,b,code,pre,preposition,post
potted plant,teddy bear,R,teddy bear is,next to,the potted plant
potted plant,chair,R,chair is,next to,the potted plant
chair,teddy bear,OB,teddy bear is,partially covering,the chair
chair,potted plant,L,potted plant is,beside,the chair
clock,dining table,L,dining table is,beside,the clock
clock,dining table,L,dining table is,beside,the clock
dining table,clock,R,clock is,next to,the dining table
dining table,clock,R,clock is,next to,the dining table
bottle,suitcase,R,suitcase is,next to,the bottle
bottle,bird,R,bird is,next to,the bottle
suitcase,bottle,L,bottle is,beside,the suitcase
suitcase,bird,R,bird is,next to,the suitcase
bird,bottle,L,bottle is,beside,the bird
bird,suitcase,L,suitcase is,beside,the bird
cup,bowl,L,bowl is,beside,the cup
cup,sandwich,R,sandwich is,next to,the cup
cup,bowl,R,bowl is,next to,the cup
cup,sandwich,R,sandwich is,next to,the cup
bowl,cup,R,cup is,next to,the bowl
bowl,cup,L,cup is,beside,the bowl
bowl,sandwich,R,sandwich is,next to,the bowl
sandwich,cup,L,cup is,beside,the sandwich
sandwich,cup,L,cup is,beside,the sandwich
sandwich,bowl,L,bowl is,beside,the sandwich
person,dining table,OB,dining table is,around,the person
dining table,person,OT,person is,on top of,the dining table
person,horse,OB,horse is,around,the person
horse,person,OT,person is,on top of,the horse
bowl,cup,R,cup is,next to,the bowl
bowl,broccoli,R,broccoli is,next to,the bowl
bowl,spoon,R,spoon is,next to,the bowl
bowl,spoon,R,spoon is,next to,the bowl
cup,bowl,L,bowl is,beside,the cup
cup,broccoli,L,broccoli is,next to,the cup
cup,spoon,L,spoon is,beside,the cup
cup,spoon,L,spoon is,beside,the cup
broccoli,bowl,L,bowl is,beside,the broccoli
broccoli,cup,R,cup is,next to,the broccoli
broccoli,spoon,OR,spoon is,covering,the broccoli
broccoli,spoon,OR,spoon is,covering,the broccoli
spoon,bowl,L,bowl is,beside,the spoon
spoon,cup,R,cup is,next to,the spoon
spoon,broccoli,OL,broccoli is,slightly covering,the spoon
spoon,bowl,L,bowl is,beside,the spoon
spoon,cup,R,cup is,next to,the spoon
spoon,broccoli,OL,broccoli is,slightly covering,the spoon
donut,bowl,OR,bowl is,partially covering,the donut
donut,cake,R,cake is,next to,the donut
bowl,donut,OL,donut is,partially covered by,the bowl
